# First data block (index 0)
# X   Y
#6.5158581733703613  438.76952566037636
  1  6671.0040569305420
  

# Second data block (index 1)
# X   Y
#7.8642091751098633  727.08137241531608
  2  8546.8029975891113
#4.3620231151580811  1310.8412883302158
  4  4405.4858684539795
  6  4678.5180568695068
#3.6851089000701904  1551.6285013696856
  8  4134.4311237335205

